Symptom,Body_System
left-sided heat intolerance,Endocrine/Metabolic
right-sided heat intolerance,Endocrine/Metabolic
bilateral heat intolerance,Endocrine/Metabolic
worse with exertion heat intolerance,Endocrine/Metabolic
worse at night heat intolerance,Endocrine/Metabolic
improved with rest heat intolerance,Endocrine/Metabolic
acute cold intolerance,Endocrine/Metabolic
chronic cold intolerance,Endocrine/Metabolic
intermittent cold intolerance,Endocrine/Metabolic
recurrent cold intolerance,Endocrine/Metabolic
progressive cold intolerance,Endocrine/Metabolic
sudden onset cold intolerance,Endocrine/Metabolic
gradual onset cold intolerance,Endocrine/Metabolic
severe cold intolerance,Endocrine/Metabolic
mild cold intolerance,Endocrine/Metabolic
moderate cold intolerance,Endocrine/Metabolic
left-sided cold intolerance,Endocrine/Metabolic
right-sided cold intolerance,Endocrine/Metabolic
bilateral cold intolerance,Endocrine/Metabolic
worse with exertion cold intolerance,Endocrine/Metabolic
worse at night cold intolerance,Endocrine/Metabolic
improved with rest cold intolerance,Endocrine/Metabolic
acute weight gain,Endocrine/Metabolic
chronic weight gain,Endocrine/Metabolic
intermittent weight gain,Endocrine/Metabolic
recurrent weight gain,Endocrine/Metabolic
progressive weight gain,Endocrine/Metabolic
sudden onset weight gain,Endocrine/Metabolic
gradual onset weight gain,Endocrine/Metabolic
severe weight gain,Endocrine/Metabolic
mild weight gain,Endocrine/Metabolic
moderate weight gain,Endocrine/Metabolic
left-sided weight gain,Endocrine/Metabolic
right-sided weight gain,Endocrine/Metabolic
bilateral weight gain,Endocrine/Metabolic
worse with exertion weight gain,Endocrine/Metabolic
worse at night weight gain,Endocrine/Metabolic
improved with rest weight gain,Endocrine/Metabolic
acute excessive sweating,Endocrine/Metabolic
chronic excessive sweating,Endocrine/Metabolic
intermittent excessive sweating,Endocrine/Metabolic
recurrent excessive sweating,Endocrine/Metabolic
progressive excessive sweating,Endocrine/Metabolic
sudden onset excessive sweating,Endocrine/Metabolic
gradual onset excessive sweating,Endocrine/Metabolic
severe excessive sweating,Endocrine/Metabolic
mild excessive sweating,Endocrine/Metabolic
moderate excessive sweating,Endocrine/Metabolic
left-sided excessive sweating,Endocrine/Metabolic
right-sided excessive sweating,Endocrine/Metabolic
bilateral excessive sweating,Endocrine/Metabolic
worse with exertion excessive sweating,Endocrine/Metabolic
worse at night excessive sweating,Endocrine/Metabolic
improved with rest excessive sweating,Endocrine/Metabolic
acute hair loss,Endocrine/Metabolic
chronic hair loss,Endocrine/Metabolic
intermittent hair loss,Endocrine/Metabolic
recurrent hair loss,Endocrine/Metabolic
progressive hair loss,Endocrine/Metabolic
sudden onset hair loss,Endocrine/Metabolic
gradual onset hair loss,Endocrine/Metabolic
severe hair loss,Endocrine/Metabolic
mild hair loss,Endocrine/Metabolic
moderate hair loss,Endocrine/Metabolic
left-sided hair loss,Endocrine/Metabolic
right-sided hair loss,Endocrine/Metabolic
bilateral hair loss,Endocrine/Metabolic
worse with exertion hair loss,Endocrine/Metabolic
worse at night hair loss,Endocrine/Metabolic
improved with rest hair loss,Endocrine/Metabolic
acute hirsutism,Endocrine/Metabolic
chronic hirsutism,Endocrine/Metabolic
intermittent hirsutism,Endocrine/Metabolic
recurrent hirsutism,Endocrine/Metabolic
progressive hirsutism,Endocrine/Metabolic
sudden onset hirsutism,Endocrine/Metabolic
gradual onset hirsutism,Endocrine/Metabolic
severe hirsutism,Endocrine/Metabolic
mild hirsutism,Endocrine/Metabolic
moderate hirsutism,Endocrine/Metabolic
left-sided hirsutism,Endocrine/Metabolic
right-sided hirsutism,Endocrine/Metabolic
bilateral hirsutism,Endocrine/Metabolic
worse with exertion hirsutism,Endocrine/Metabolic
worse at night hirsutism,Endocrine/Metabolic
improved with rest hirsutism,Endocrine/Metabolic
acute acanthosis nigricans,Endocrine/Metabolic
chronic acanthosis nigricans,Endocrine/Metabolic
intermittent acanthosis nigricans,Endocrine/Metabolic
recurrent acanthosis nigricans,Endocrine/Metabolic
progressive acanthosis nigricans,Endocrine/Metabolic
sudden onset acanthosis nigricans,Endocrine/Metabolic
gradual onset acanthosis nigricans,Endocrine/Metabolic
severe acanthosis nigricans,Endocrine/Metabolic
mild acanthosis nigricans,Endocrine/Metabolic
moderate acanthosis nigricans,Endocrine/Metabolic
left-sided acanthosis nigricans,Endocrine/Metabolic
right-sided acanthosis nigricans,Endocrine/Metabolic
bilateral acanthosis nigricans,Endocrine/Metabolic
worse with exertion acanthosis nigricans,Endocrine/Metabolic
worse at night acanthosis nigricans,Endocrine/Metabolic
improved with rest acanthosis nigricans,Endocrine/Metabolic
acute easy bruising,Hematologic
chronic easy bruising,Hematologic
intermittent easy bruising,Hematologic
recurrent easy bruising,Hematologic
progressive easy bruising,Hematologic
sudden onset easy bruising,Hematologic
gradual onset easy bruising,Hematologic
severe easy bruising,Hematologic
mild easy bruising,Hematologic
moderate easy bruising,Hematologic
left-sided easy bruising,Hematologic
right-sided easy bruising,Hematologic
bilateral easy bruising,Hematologic
worse with exertion easy bruising,Hematologic
worse at night easy bruising,Hematologic
improved with rest easy bruising,Hematologic
acute excessive bleeding,Hematologic
chronic excessive bleeding,Hematologic
intermittent excessive bleeding,Hematologic
recurrent excessive bleeding,Hematologic
progressive excessive bleeding,Hematologic
sudden onset excessive bleeding,Hematologic
gradual onset excessive bleeding,Hematologic
severe excessive bleeding,Hematologic
mild excessive bleeding,Hematologic
moderate excessive bleeding,Hematologic
left-sided excessive bleeding,Hematologic
right-sided excessive bleeding,Hematologic
bilateral excessive bleeding,Hematologic
worse with exertion excessive bleeding,Hematologic
worse at night excessive bleeding,Hematologic
improved with rest excessive bleeding,Hematologic
acute lymphadenopathy,Hematologic
chronic lymphadenopathy,Hematologic
intermittent lymphadenopathy,Hematologic
recurrent lymphadenopathy,Hematologic
progressive lymphadenopathy,Hematologic
sudden onset lymphadenopathy,Hematologic
gradual onset lymphadenopathy,Hematologic
severe lymphadenopathy,Hematologic
mild lymphadenopathy,Hematologic
moderate lymphadenopathy,Hematologic
left-sided lymphadenopathy,Hematologic
right-sided lymphadenopathy,Hematologic
bilateral lymphadenopathy,Hematologic
worse with exertion lymphadenopathy,Hematologic
worse at night lymphadenopathy,Hematologic
improved with rest lymphadenopathy,Hematologic
acute pallor,Hematologic
chronic pallor,Hematologic
intermittent pallor,Hematologic
recurrent pallor,Hematologic
progressive pallor,Hematologic
sudden onset pallor,Hematologic
gradual onset pallor,Hematologic
severe pallor,Hematologic
mild pallor,Hematologic
moderate pallor,Hematologic
left-sided pallor,Hematologic
right-sided pallor,Hematologic
bilateral pallor,Hematologic
worse with exertion pallor,Hematologic
worse at night pallor,Hematologic
improved with rest pallor,Hematologic
acute frequent infections,Hematologic
chronic frequent infections,Hematologic
intermittent frequent infections,Hematologic
recurrent frequent infections,Hematologic
progressive frequent infections,Hematologic
sudden onset frequent infections,Hematologic
gradual onset frequent infections,Hematologic
severe frequent infections,Hematologic
mild frequent infections,Hematologic
moderate frequent infections,Hematologic
left-sided frequent infections,Hematologic
right-sided frequent infections,Hematologic
bilateral frequent infections,Hematologic
worse with exertion frequent infections,Hematologic
worse at night frequent infections,Hematologic
improved with rest frequent infections,Hematologic
acute splenomegaly,Hematologic
chronic splenomegaly,Hematologic
intermittent splenomegaly,Hematologic
recurrent splenomegaly,Hematologic
progressive splenomegaly,Hematologic
sudden onset splenomegaly,Hematologic
gradual onset splenomegaly,Hematologic
severe splenomegaly,Hematologic
mild splenomegaly,Hematologic
moderate splenomegaly,Hematologic
left-sided splenomegaly,Hematologic
right-sided splenomegaly,Hematologic
bilateral splenomegaly,Hematologic
worse with exertion splenomegaly,Hematologic
worse at night splenomegaly,Hematologic
improved with rest splenomegaly,Hematologic
acute insomnia,Psychiatric
chronic insomnia,Psychiatric
intermittent insomnia,Psychiatric
recurrent insomnia,Psychiatric
progressive insomnia,Psychiatric
sudden onset insomnia,Psychiatric
gradual onset insomnia,Psychiatric
severe insomnia,Psychiatric
mild insomnia,Psychiatric
moderate insomnia,Psychiatric
left-sided insomnia,Psychiatric
right-sided insomnia,Psychiatric
bilateral insomnia,Psychiatric
worse with exertion insomnia,Psychiatric
worse at night insomnia,Psychiatric
improved with rest insomnia,Psychiatric
acute hopelessness,Psychiatric
chronic hopelessness,Psychiatric
intermittent hopelessness,Psychiatric
recurrent hopelessness,Psychiatric
progressive hopelessness,Psychiatric
sudden onset hopelessness,Psychiatric
gradual onset hopelessness,Psychiatric
severe hopelessness,Psychiatric
mild hopelessness,Psychiatric
moderate hopelessness,Psychiatric
left-sided hopelessness,Psychiatric
right-sided hopelessness,Psychiatric
bilateral hopelessness,Psychiatric
worse with exertion hopelessness,Psychiatric
worse at night hopelessness,Psychiatric
improved with rest hopelessness,Psychiatric
acute anxiety,Psychiatric
chronic anxiety,Psychiatric
intermittent anxiety,Psychiatric
recurrent anxiety,Psychiatric
progressive anxiety,Psychiatric
sudden onset anxiety,Psychiatric
gradual onset anxiety,Psychiatric
severe anxiety,Psychiatric
mild anxiety,Psychiatric
moderate anxiety,Psychiatric
left-sided anxiety,Psychiatric
right-sided anxiety,Psychiatric
bilateral anxiety,Psychiatric
worse with exertion anxiety,Psychiatric
worse at night anxiety,Psychiatric
improved with rest anxiety,Psychiatric
acute panic attacks,Psychiatric
chronic panic attacks,Psychiatric
intermittent panic attacks,Psychiatric
recurrent panic attacks,Psychiatric
progressive panic attacks,Psychiatric
sudden onset panic attacks,Psychiatric
gradual onset panic attacks,Psychiatric
severe panic attacks,Psychiatric
mild panic attacks,Psychiatric
moderate panic attacks,Psychiatric
left-sided panic attacks,Psychiatric
right-sided panic attacks,Psychiatric
bilateral panic attacks,Psychiatric
worse with exertion panic attacks,Psychiatric
worse at night panic attacks,Psychiatric
improved with rest panic attacks,Psychiatric
acute auditory hallucinations,Psychiatric
chronic auditory hallucinations,Psychiatric
intermittent auditory hallucinations,Psychiatric
recurrent auditory hallucinations,Psychiatric
progressive auditory hallucinations,Psychiatric
sudden onset auditory hallucinations,Psychiatric
gradual onset auditory hallucinations,Psychiatric
severe auditory hallucinations,Psychiatric
mild auditory hallucinations,Psychiatric
moderate auditory hallucinations,Psychiatric
left-sided auditory hallucinations,Psychiatric
right-sided auditory hallucinations,Psychiatric
bilateral auditory hallucinations,Psychiatric
worse with exertion auditory hallucinations,Psychiatric
worse at night auditory hallucinations,Psychiatric
improved with rest auditory hallucinations,Psychiatric
acute visual hallucinations,Psychiatric
chronic visual hallucinations,Psychiatric
intermittent visual hallucinations,Psychiatric
recurrent visual hallucinations,Psychiatric
progressive visual hallucinations,Psychiatric
sudden onset visual hallucinations,Psychiatric
gradual onset visual hallucinations,Psychiatric
severe visual hallucinations,Psychiatric
mild visual hallucinations,Psychiatric
moderate visual hallucinations,Psychiatric
left-sided visual hallucinations,Psychiatric
right-sided visual hallucinations,Psychiatric
bilateral visual hallucinations,Psychiatric
worse with exertion visual hallucinations,Psychiatric
worse at night visual hallucinations,Psychiatric
improved with rest visual hallucinations,Psychiatric
acute suicidal ideation,Psychiatric
chronic suicidal ideation,Psychiatric
intermittent suicidal ideation,Psychiatric
recurrent suicidal ideation,Psychiatric
progressive suicidal ideation,Psychiatric
sudden onset suicidal ideation,Psychiatric
gradual onset suicidal ideation,Psychiatric
severe suicidal ideation,Psychiatric
mild suicidal ideation,Psychiatric
moderate suicidal ideation,Psychiatric
left-sided suicidal ideation,Psychiatric
right-sided suicidal ideation,Psychiatric
bilateral suicidal ideation,Psychiatric
worse with exertion suicidal ideation,Psychiatric
worse at night suicidal ideation,Psychiatric
improved with rest suicidal ideation,Psychiatric
acute irritability,Psychiatric
chronic irritability,Psychiatric
intermittent irritability,Psychiatric
recurrent irritability,Psychiatric
progressive irritability,Psychiatric
sudden onset irritability,Psychiatric
gradual onset irritability,Psychiatric
severe irritability,Psychiatric
mild irritability,Psychiatric
moderate irritability,Psychiatric
left-sided irritability,Psychiatric
right-sided irritability,Psychiatric
bilateral irritability,Psychiatric
worse with exertion irritability,Psychiatric
worse at night irritability,Psychiatric
improved with rest irritability,Psychiatric
acute agitation,Psychiatric
chronic agitation,Psychiatric
intermittent agitation,Psychiatric
recurrent agitation,Psychiatric
progressive agitation,Psychiatric
sudden onset agitation,Psychiatric
gradual onset agitation,Psychiatric
severe agitation,Psychiatric
mild agitation,Psychiatric
moderate agitation,Psychiatric
left-sided agitation,Psychiatric
right-sided agitation,Psychiatric
bilateral agitation,Psychiatric
worse with exertion agitation,Psychiatric
worse at night agitation,Psychiatric
improved with rest agitation,Psychiatric
acute loss of interest,Psychiatric
chronic loss of interest,Psychiatric
intermittent loss of interest,Psychiatric
recurrent loss of interest,Psychiatric
progressive loss of interest,Psychiatric
sudden onset loss of interest,Psychiatric
gradual onset loss of interest,Psychiatric
severe loss of interest,Psychiatric
mild loss of interest,Psychiatric
moderate loss of interest,Psychiatric
left-sided loss of interest,Psychiatric
right-sided loss of interest,Psychiatric
bilateral loss of interest,Psychiatric
worse with exertion loss of interest,Psychiatric
worse at night loss of interest,Psychiatric
improved with rest loss of interest,Psychiatric
acute blurred vision,Ophthalmologic
chronic blurred vision,Ophthalmologic
intermittent blurred vision,Ophthalmologic
recurrent blurred vision,Ophthalmologic
progressive blurred vision,Ophthalmologic
sudden onset blurred vision,Ophthalmologic
gradual onset blurred vision,Ophthalmologic
severe blurred vision,Ophthalmologic
mild blurred vision,Ophthalmologic
moderate blurred vision,Ophthalmologic
left-sided blurred vision,Ophthalmologic
right-sided blurred vision,Ophthalmologic
bilateral blurred vision,Ophthalmologic
worse with exertion blurred vision,Ophthalmologic
worse at night blurred vision,Ophthalmologic
improved with rest blurred vision,Ophthalmologic
eye pain (upper body),Ophthalmologic
eye pain (lower body),Ophthalmologic
eye pain (left body),Ophthalmologic
eye pain (right body),Ophthalmologic
eye pain (central body),Ophthalmologic
eye pain (peripheral body),Ophthalmologic
acute eye pain,Ophthalmologic
acute eye pain (upper body),Ophthalmologic
acute eye pain (lower body),Ophthalmologic
acute eye pain (left body),Ophthalmologic
acute eye pain (right body),Ophthalmologic
acute eye pain (central body),Ophthalmologic
acute eye pain (peripheral body),Ophthalmologic
chronic eye pain,Ophthalmologic
chronic eye pain (upper body),Ophthalmologic
chronic eye pain (lower body),Ophthalmologic
chronic eye pain (left body),Ophthalmologic
chronic eye pain (right body),Ophthalmologic
chronic eye pain (central body),Ophthalmologic
chronic eye pain (peripheral body),Ophthalmologic
intermittent eye pain,Ophthalmologic
intermittent eye pain (upper body),Ophthalmologic
intermittent eye pain (lower body),Ophthalmologic
intermittent eye pain (left body),Ophthalmologic
intermittent eye pain (right body),Ophthalmologic
intermittent eye pain (central body),Ophthalmologic
intermittent eye pain (peripheral body),Ophthalmologic
recurrent eye pain,Ophthalmologic
recurrent eye pain (upper body),Ophthalmologic
recurrent eye pain (lower body),Ophthalmologic
recurrent eye pain (left body),Ophthalmologic
recurrent eye pain (right body),Ophthalmologic
recurrent eye pain (central body),Ophthalmologic
recurrent eye pain (peripheral body),Ophthalmologic
progressive eye pain,Ophthalmologic
progressive eye pain (upper body),Ophthalmologic
progressive eye pain (lower body),Ophthalmologic
progressive eye pain (left body),Ophthalmologic
progressive eye pain (right body),Ophthalmologic
progressive eye pain (central body),Ophthalmologic
progressive eye pain (peripheral body),Ophthalmologic
sudden onset eye pain,Ophthalmologic
sudden onset eye pain (upper body),Ophthalmologic
sudden onset eye pain (lower body),Ophthalmologic
sudden onset eye pain (left body),Ophthalmologic
sudden onset eye pain (right body),Ophthalmologic
sudden onset eye pain (central body),Ophthalmologic
sudden onset eye pain (peripheral body),Ophthalmologic
gradual onset eye pain,Ophthalmologic
gradual onset eye pain (upper body),Ophthalmologic
gradual onset eye pain (lower body),Ophthalmologic
gradual onset eye pain (left body),Ophthalmologic
gradual onset eye pain (right body),Ophthalmologic
gradual onset eye pain (central body),Ophthalmologic
gradual onset eye pain (peripheral body),Ophthalmologic
severe eye pain,Ophthalmologic
severe eye pain (upper body),Ophthalmologic
severe eye pain (lower body),Ophthalmologic
severe eye pain (left body),Ophthalmologic
severe eye pain (right body),Ophthalmologic
severe eye pain (central body),Ophthalmologic
severe eye pain (peripheral body),Ophthalmologic
mild eye pain,Ophthalmologic
mild eye pain (upper body),Ophthalmologic
mild eye pain (lower body),Ophthalmologic
mild eye pain (left body),Ophthalmologic
mild eye pain (right body),Ophthalmologic
mild eye pain (central body),Ophthalmologic
mild eye pain (peripheral body),Ophthalmologic
moderate eye pain,Ophthalmologic
moderate eye pain (upper body),Ophthalmologic
moderate eye pain (lower body),Ophthalmologic
moderate eye pain (left body),Ophthalmologic
moderate eye pain (right body),Ophthalmologic
moderate eye pain (central body),Ophthalmologic
moderate eye pain (peripheral body),Ophthalmologic
left-sided eye pain,Ophthalmologic
left-sided eye pain (upper body),Ophthalmologic
left-sided eye pain (lower body),Ophthalmologic
left-sided eye pain (left body),Ophthalmologic
left-sided eye pain (right body),Ophthalmologic
left-sided eye pain (central body),Ophthalmologic
left-sided eye pain (peripheral body),Ophthalmologic
right-sided eye pain,Ophthalmologic
right-sided eye pain (upper body),Ophthalmologic
right-sided eye pain (lower body),Ophthalmologic
right-sided eye pain (left body),Ophthalmologic
right-sided eye pain (right body),Ophthalmologic
right-sided eye pain (central body),Ophthalmologic
right-sided eye pain (peripheral body),Ophthalmologic
bilateral eye pain,Ophthalmologic
bilateral eye pain (upper body),Ophthalmologic
bilateral eye pain (lower body),Ophthalmologic
bilateral eye pain (left body),Ophthalmologic
bilateral eye pain (right body),Ophthalmologic
bilateral eye pain (central body),Ophthalmologic
bilateral eye pain (peripheral body),Ophthalmologic
worse with exertion eye pain,Ophthalmologic
worse with exertion eye pain (upper body),Ophthalmologic
worse with exertion eye pain (lower body),Ophthalmologic
worse with exertion eye pain (left body),Ophthalmologic
worse with exertion eye pain (right body),Ophthalmologic
worse with exertion eye pain (central body),Ophthalmologic
worse with exertion eye pain (peripheral body),Ophthalmologic
worse at night eye pain,Ophthalmologic
worse at night eye pain (upper body),Ophthalmologic
worse at night eye pain (lower body),Ophthalmologic
worse at night eye pain (left body),Ophthalmologic
worse at night eye pain (right body),Ophthalmologic
worse at night eye pain (central body),Ophthalmologic
worse at night eye pain (peripheral body),Ophthalmologic
improved with rest eye pain,Ophthalmologic
improved with rest eye pain (upper body),Ophthalmologic
improved with rest eye pain (lower body),Ophthalmologic
improved with rest eye pain (left body),Ophthalmologic
improved with rest eye pain (right body),Ophthalmologic
improved with rest eye pain (central body),Ophthalmologic
improved with rest eye pain (peripheral body),Ophthalmologic
acute red eye,Ophthalmologic
chronic red eye,Ophthalmologic
intermittent red eye,Ophthalmologic
recurrent red eye,Ophthalmologic
progressive red eye,Ophthalmologic
sudden onset red eye,Ophthalmologic
gradual onset red eye,Ophthalmologic
severe red eye,Ophthalmologic
mild red eye,Ophthalmologic
moderate red eye,Ophthalmologic
left-sided red eye,Ophthalmologic
right-sided red eye,Ophthalmologic
bilateral red eye,Ophthalmologic
worse with exertion red eye,Ophthalmologic
worse at night red eye,Ophthalmologic
improved with rest red eye,Ophthalmologic
acute floaters,Ophthalmologic
chronic floaters,Ophthalmologic
intermittent floaters,Ophthalmologic
recurrent floaters,Ophthalmologic
progressive floaters,Ophthalmologic
sudden onset floaters,Ophthalmologic
gradual onset floaters,Ophthalmologic
severe floaters,Ophthalmologic
mild floaters,Ophthalmologic
moderate floaters,Ophthalmologic
left-sided floaters,Ophthalmologic
right-sided floaters,Ophthalmologic
bilateral floaters,Ophthalmologic
worse with exertion floaters,Ophthalmologic
worse at night floaters,Ophthalmologic
improved with rest floaters,Ophthalmologic
acute photophobia,Ophthalmologic
chronic photophobia,Ophthalmologic
intermittent photophobia,Ophthalmologic
recurrent photophobia,Ophthalmologic
progressive photophobia,Ophthalmologic
sudden onset photophobia,Ophthalmologic
gradual onset photophobia,Ophthalmologic
severe photophobia,Ophthalmologic
mild photophobia,Ophthalmologic
moderate photophobia,Ophthalmologic
left-sided photophobia,Ophthalmologic
right-sided photophobia,Ophthalmologic
bilateral photophobia,Ophthalmologic
worse with exertion photophobia,Ophthalmologic
worse at night photophobia,Ophthalmologic
improved with rest photophobia,Ophthalmologic
acute vision loss,Ophthalmologic
chronic vision loss,Ophthalmologic
intermittent vision loss,Ophthalmologic
recurrent vision loss,Ophthalmologic
progressive vision loss,Ophthalmologic
sudden onset vision loss,Ophthalmologic
gradual onset vision loss,Ophthalmologic
severe vision loss,Ophthalmologic
mild vision loss,Ophthalmologic
moderate vision loss,Ophthalmologic
left-sided vision loss,Ophthalmologic
right-sided vision loss,Ophthalmologic
bilateral vision loss,Ophthalmologic
worse with exertion vision loss,Ophthalmologic
worse at night vision loss,Ophthalmologic
improved with rest vision loss,Ophthalmologic
acute double vision,Ophthalmologic
chronic double vision,Ophthalmologic
intermittent double vision,Ophthalmologic
recurrent double vision,Ophthalmologic
progressive double vision,Ophthalmologic
sudden onset double vision,Ophthalmologic
gradual onset double vision,Ophthalmologic
severe double vision,Ophthalmologic
mild double vision,Ophthalmologic
moderate double vision,Ophthalmologic
left-sided double vision,Ophthalmologic
right-sided double vision,Ophthalmologic
bilateral double vision,Ophthalmologic
worse with exertion double vision,Ophthalmologic
worse at night double vision,Ophthalmologic
improved with rest double vision,Ophthalmologic
acute tearing,Ophthalmologic
chronic tearing,Ophthalmologic
intermittent tearing,Ophthalmologic
recurrent tearing,Ophthalmologic
progressive tearing,Ophthalmologic
sudden onset tearing,Ophthalmologic
gradual onset tearing,Ophthalmologic
severe tearing,Ophthalmologic
mild tearing,Ophthalmologic
moderate tearing,Ophthalmologic
left-sided tearing,Ophthalmologic
right-sided tearing,Ophthalmologic
bilateral tearing,Ophthalmologic
worse with exertion tearing,Ophthalmologic
worse at night tearing,Ophthalmologic
improved with rest tearing,Ophthalmologic
acute dry eyes,Ophthalmologic
chronic dry eyes,Ophthalmologic
intermittent dry eyes,Ophthalmologic
recurrent dry eyes,Ophthalmologic
progressive dry eyes,Ophthalmologic
sudden onset dry eyes,Ophthalmologic
gradual onset dry eyes,Ophthalmologic
severe dry eyes,Ophthalmologic
mild dry eyes,Ophthalmologic
moderate dry eyes,Ophthalmologic
left-sided dry eyes,Ophthalmologic
right-sided dry eyes,Ophthalmologic
bilateral dry eyes,Ophthalmologic
worse with exertion dry eyes,Ophthalmologic
worse at night dry eyes,Ophthalmologic
improved with rest dry eyes,Ophthalmologic
acute foreign body sensation,Ophthalmologic
chronic foreign body sensation,Ophthalmologic
intermittent foreign body sensation,Ophthalmologic
recurrent foreign body sensation,Ophthalmologic
progressive foreign body sensation,Ophthalmologic
sudden onset foreign body sensation,Ophthalmologic
gradual onset foreign body sensation,Ophthalmologic
severe foreign body sensation,Ophthalmologic
mild foreign body sensation,Ophthalmologic
moderate foreign body sensation,Ophthalmologic
left-sided foreign body sensation,Ophthalmologic
right-sided foreign body sensation,Ophthalmologic
bilateral foreign body sensation,Ophthalmologic
worse with exertion foreign body sensation,Ophthalmologic
worse at night foreign body sensation,Ophthalmologic
improved with rest foreign body sensation,Ophthalmologic
acute hearing loss,Otolaryngologic
chronic hearing loss,Otolaryngologic
intermittent hearing loss,Otolaryngologic
recurrent hearing loss,Otolaryngologic
progressive hearing loss,Otolaryngologic
sudden onset hearing loss,Otolaryngologic
gradual onset hearing loss,Otolaryngologic
severe hearing loss,Otolaryngologic
mild hearing loss,Otolaryngologic
moderate hearing loss,Otolaryngologic
left-sided hearing loss,Otolaryngologic
right-sided hearing loss,Otolaryngologic
bilateral hearing loss,Otolaryngologic
worse with exertion hearing loss,Otolaryngologic
worse at night hearing loss,Otolaryngologic
improved with rest hearing loss,Otolaryngologic
acute tinnitus,Otolaryngologic
chronic tinnitus,Otolaryngologic
intermittent tinnitus,Otolaryngologic
recurrent tinnitus,Otolaryngologic
progressive tinnitus,Otolaryngologic
sudden onset tinnitus,Otolaryngologic
gradual onset tinnitus,Otolaryngologic
severe tinnitus,Otolaryngologic
mild tinnitus,Otolaryngologic
moderate tinnitus,Otolaryngologic
left-sided tinnitus,Otolaryngologic
right-sided tinnitus,Otolaryngologic
bilateral tinnitus,Otolaryngologic
worse with exertion tinnitus,Otolaryngologic
worse at night tinnitus,Otolaryngologic
improved with rest tinnitus,Otolaryngologic
ear pain (upper body),Otolaryngologic
ear pain (lower body),Otolaryngologic
ear pain (left body),Otolaryngologic
ear pain (right body),Otolaryngologic
ear pain (central body),Otolaryngologic
ear pain (peripheral body),Otolaryngologic
acute ear pain,Otolaryngologic
acute ear pain (upper body),Otolaryngologic
acute ear pain (lower body),Otolaryngologic
acute ear pain (left body),Otolaryngologic
acute ear pain (right body),Otolaryngologic
acute ear pain (central body),Otolaryngologic
acute ear pain (peripheral body),Otolaryngologic
chronic ear pain,Otolaryngologic
chronic ear pain (upper body),Otolaryngologic
chronic ear pain (lower body),Otolaryngologic
chronic ear pain (left body),Otolaryngologic
chronic ear pain (right body),Otolaryngologic
chronic ear pain (central body),Otolaryngologic
chronic ear pain (peripheral body),Otolaryngologic
intermittent ear pain,Otolaryngologic
intermittent ear pain (upper body),Otolaryngologic
intermittent ear pain (lower body),Otolaryngologic
intermittent ear pain (left body),Otolaryngologic
intermittent ear pain (right body),Otolaryngologic
intermittent ear pain (central body),Otolaryngologic
intermittent ear pain (peripheral body),Otolaryngologic
recurrent ear pain,Otolaryngologic
recurrent ear pain (upper body),Otolaryngologic
recurrent ear pain (lower body),Otolaryngologic
recurrent ear pain (left body),Otolaryngologic
recurrent ear pain (right body),Otolaryngologic
recurrent ear pain (central body),Otolaryngologic
recurrent ear pain (peripheral body),Otolaryngologic
progressive ear pain,Otolaryngologic
progressive ear pain (upper body),Otolaryngologic
progressive ear pain (lower body),Otolaryngologic
progressive ear pain (left body),Otolaryngologic
progressive ear pain (right body),Otolaryngologic
progressive ear pain (central body),Otolaryngologic
progressive ear pain (peripheral body),Otolaryngologic
sudden onset ear pain,Otolaryngologic
sudden onset ear pain (upper body),Otolaryngologic
sudden onset ear pain (lower body),Otolaryngologic
sudden onset ear pain (left body),Otolaryngologic
sudden onset ear pain (right body),Otolaryngologic
sudden onset ear pain (central body),Otolaryngologic
sudden onset ear pain (peripheral body),Otolaryngologic
gradual onset ear pain,Otolaryngologic
gradual onset ear pain (upper body),Otolaryngologic
gradual onset ear pain (lower body),Otolaryngologic
gradual onset ear pain (left body),Otolaryngologic
gradual onset ear pain (right body),Otolaryngologic
gradual onset ear pain (central body),Otolaryngologic
gradual onset ear pain (peripheral body),Otolaryngologic
severe ear pain,Otolaryngologic
severe ear pain (upper body),Otolaryngologic
severe ear pain (lower body),Otolaryngologic
severe ear pain (left body),Otolaryngologic
severe ear pain (right body),Otolaryngologic
severe ear pain (central body),Otolaryngologic
severe ear pain (peripheral body),Otolaryngologic
mild ear pain,Otolaryngologic
mild ear pain (upper body),Otolaryngologic
mild ear pain (lower body),Otolaryngologic
mild ear pain (left body),Otolaryngologic
mild ear pain (right body),Otolaryngologic
mild ear pain (central body),Otolaryngologic
mild ear pain (peripheral body),Otolaryngologic
moderate ear pain,Otolaryngologic
moderate ear pain (upper body),Otolaryngologic
moderate ear pain (lower body),Otolaryngologic
moderate ear pain (left body),Otolaryngologic
moderate ear pain (right body),Otolaryngologic
moderate ear pain (central body),Otolaryngologic
moderate ear pain (peripheral body),Otolaryngologic
left-sided ear pain,Otolaryngologic
left-sided ear pain (upper body),Otolaryngologic
left-sided ear pain (lower body),Otolaryngologic
left-sided ear pain (left body),Otolaryngologic
left-sided ear pain (right body),Otolaryngologic
left-sided ear pain (central body),Otolaryngologic
left-sided ear pain (peripheral body),Otolaryngologic
right-sided ear pain,Otolaryngologic
right-sided ear pain (upper body),Otolaryngologic
right-sided ear pain (lower body),Otolaryngologic
right-sided ear pain (left body),Otolaryngologic
